ID FACTURE;CODE FOURNISSEUR;NOM FOURNISSEUR;NUM FACTURE;DATE FACTURE;ENTITE FACTURE;ID ENGAGEMENT;MONTANT TTC;DATE INSERTION;STATUT
17-160-506_51366301-209;FBILLM;FOURNISSEUR NON RECONNU AU SCAN;2017121;01/06/2017;G09;ADCOBX;1000;13/06/2017;Correction
17-160-506_51366301-70;F19605;HOEFERLIN BOUFFAY;F01274;10/05/2017;G09;ADFORF;4223,45;13/06/2017;Correction
17-166-506_51546101-17;F31850;SODEXO ENERGIE ET MAINTENANCE;9023360867;19/03/2017;G09;ADIMEX;1990,56;19/06/2017;Correction
17-166-506_51546101-78;FBILLM;FOURNISSEUR NON RECONNU AU SCAN;20170116926;31/01/2017;G09;ADCOMR;1164;19/06/2017;Correction
17-166-506_51546101-90;F30474;GRANDEUR NATURE;201700377;30/04/2017;G09;ABILLM;319,61;19/06/2017;Correction
17-166-506_51546101-134;F08513;GROUPEMENT TAXIS G7;170155271;31/05/2017;G09;ADCORC;542,67;19/06/2017;Correction
17-166-506_51546101-138;FBILLM;FOURNISSEUR NON RECONNU AU SCAN;35974;09/06/2017;G09;ASGRIN;43;19/06/2017;Correction
17-167-506_51620801-235;F14986;FIXAGE;F2017052121DBALM;31/05/2017;G09;AARTSO;44064;20/06/2017;Correction
17-167-506_51620801-241;FBILLM;FOURNISSEUR NON RECONNU AU SCAN;FAC00001624;11/04/2017;G09;ADRHGR;10653,55;20/06/2017;Correction
17-167-506_51620801-237;FBILLM;FOURNISSEUR NON RECONNU AU SCAN;17T53808;31/05/2017;G09;ADEGEN;660,58;20/06/2017;Correction
17-167-506_51650901-158;F32851;SOC NOUVELLE DU TERRASS HOTEL;173152;16/06/2017;G04;ABILLM;26499,15;20/06/2017;Correction
17-167-506_51619601-24;F08743;TCS;F47068;30/04/2017;G09;ABILLM;347,90;20/06/2017;Correction
17-167-506_51619601-26;F09188;VOTHI CALLEMYN THANH TAN;382842;23/05/2017;G09;ADLACC;1326,40;20/06/2017;Correction
17-166-506_51545101-14;FBILLM;FOURNISSEUR NON RECONNU AU SCAN;250341923;12/06/2017;G04;ADSINF;1801;16/06/2017;Correction
17-166-506_51545701-16;FBILLM;FOURNISSEUR NON RECONNU AU SCAN;250344371;12/06/2017;G09;ADSINF;19467,14;16/06/2017;Correction
17-166-506_51545701-19;FBILLM;FOURNISSEUR NON RECONNU AU SCAN;2B079G29817E21C06;12/06/2017;G09;ADSINF;52,80;16/06/2017;Correction
17-166-506_51545701-44;FBILLM;FOURNISSEUR NON RECONNU AU SCAN;250343943;12/06/2017;G09;ADSINF;204,44;16/06/2017;Correction
17-166-506_51537901-28;F28719;SCHROLL;228443;31/05/2017;G09;ABILLM;225,01;16/06/2017;Correction
17-166-506_51537901-30;F28719;SCHROLL;228456;31/05/2017;G09;ABILLM;69,85;16/06/2017;Correction
17-166-506_51537901-49;FBILLM;FOURNISSEUR NON RECONNU AU SCAN;17170509482;31/05/2017;G09;ACPTAO;10680;16/06/2017;Correction
17-166-506_51537901-80;F06566;NUMERICOPY;F17060008;06/06/2017;G09;ABILLM;4500;16/06/2017;Correction
17-166-506_51537901-88;FBILLM;FOURNISSEUR NON RECONNU AU SCAN;95026053;09/06/2017;G09;ADFORM;1451,45;16/06/2017;Correction
17-166-506_51537901-90;FBILLM;FOURNISSEUR NON RECONNU AU SCAN;95026052;09/06/2017;G09;ADFORM;1906,45;16/06/2017;Correction
17-166-506_51537901-208;FBILLM;FOURNISSEUR NON RECONNU AU SCAN;FC0150;09/05/2017;G09;ASGC17;6903;16/06/2017;Correction
17-166-506_51537901-114;F01424;NP6 SAS;F1702026;28/02/2017;G09;ABILLM;248,59;16/06/2017;Correction
17-166-506_51537901-116;F01424;NP6 SAS;F1703033;31/03/2017;G09;ABILLM;246,25;16/06/2017;Correction
17-166-506_51537901-118;F01424;NP6 SAS;F1704048;30/04/2017;G09;ABILLM;250,99;16/06/2017;Correction
